Rank,Title,Artist(s),Artists Separately
74,"""That's the Way""",Jo Dee Messina,Jo Dee Messina
75,"""Swear It Again""",Westlife,Westlife
76,"""The Next Episode""",Dr. Dre featuring Snoop Dogg,Dr. Dre;Snoop Dogg
77,"""From the Bottom of My Broken Heart""",Britney Spears,Britney Spears
78,"""Crash and Burn""",Savage Garden,Savage Garden
79,"""Yes!""",Chad Brock,Chad Brock
80,"""The Best Day""",George Strait,George Strait
81,"""Where I Wanna Be""",Donell Jones,Donell Jones
82,"""How Do You Like Me Now?!""",Toby Keith,Toby Keith
83,"""My Best Friend""",Tim McGraw,Tim McGraw
84,"""Broadway""",Goo Goo Dolls,Goo Goo Dolls
85,"""What'chu Like""",Da Brat featuring Tyrese,Da Brat;Tyrese
86,"""Don't Think I'm Not""",Kandi,Kandi
87,"""I Hope You Dance""",Lee Ann Womack with Sons of the Desert,Lee Ann Womack;Sons of the Desert
88,"""Better Off Alone""",Alice Deejay,Alice Deejay
89,"""Dance with Me""",Debelah Morgan,Debelah Morgan
90,"""What About Now""",Lonestar,Lonestar
91,"""I Like It""",Sammie,Sammie
92,"""24/7""",Kevon Edmonds,Kevon Edmonds
93,"""Girl on TV""",LFO,LFO
94,"""Bounce with Me""",Lil' Bow Wow featuring Xscape,Lil' Bow Wow;Xscape
95,"""Cowboy Take Me Away""",Dixie Chicks,Dixie Chicks
96,"""I Don't Wanna""",Aaliyah,Aaliyah
97,"""Independent Women Part I""",Destiny's Child,Destiny's Child
98,"""Gotta Tell You""",Samantha Mumba,Samantha Mumba
99,"""Waiting for Tonight""",Jennifer Lopez,Jennifer Lopez
100,"""Shackles (Praise You)""",Mary Mary,Mary Mary
